Order_ID,Order_Date,Outlet,Product,Category,Quantity,Unit_Price,Sales,Cost,Profit,Profit_Margin,Month,Year,Payment_Method,Order_Status,Order_Status_Category
ORD1145,2026-07-11,Koramangala,Danish Pastry,Bakery,1,160,160,78,82,0.5125,Jul-2026,2026,Cash,Cancelled,Not Completed
ORD1010,2026-06-06,Koramangala,Muffin,Bakery,1,130,130,57,73,0.561538,Jun-2026,2026,UPI,Completed,Completed
ORD1018,2026-06-17,Koramangala,Veg Puff,Snacks,3,80,240,125,115,0.479167,Jun-2026,2026,Card,Completed,Completed
ORD1021,2026-08-08,Koramangala,Brownie,Bakery,2,150,300,123,177,0.59,Aug-2026,2026,UPI,Completed,Completed
ORD1046,2026-06-20,Whitefield,Hot Chocolate,Hot Beverages,1,170,170,62,108,0.635294,Jun-2026,2026,UPI,Completed,Completed
ORD1007,2026-07-30,HSR Layout,Brownie,Bakery,1,150,150,74,76,0.506667,Jul-2026,2026,Cash,Completed,Completed
ORD1053,2026-08-28,Indiranagar,Sandwich,Snacks,3,190,570,259,311,0.545614,Aug-2026,2026,UPI,Completed,Completed
ORD1092,2026-07-01,Whitefield,Garlic Bread,Snacks,2,150,300,141,159,0.53,Jul-2026,2026,UPI,Completed,Completed
ORD1130,2026-06-25,Whitefield,Espresso,Hot Beverages,1,150,150,67,83,0.553333,Jun-2026,2026,UPI,Completed,Completed
ORD1184,2026-08-21,Koramangala,Croissant,Bakery,2,140,280,116,164,0.585714,Aug-2026,2026,Not Specified,Completed,Completed
ORD1022,2026-08-21,Whitefield,Brownie,Bakery,2,150,300,137,163,0.543333,Aug-2026,2026,UPI,Completed,Completed
ORD1043,2026-08-04,Indiranagar,Iced Tea,Cold Beverages,2,150,300,130,170,0.566667,Aug-2026,2026,UPI,Cancelled,Not Completed
ORD1106,2026-07-10,Koramangala,Cappuccino,Hot Beverages,1,180,180,79,101,0.561111,Jul-2026,2026,Cash,Completed,Completed
ORD1146,2026-08-21,Indiranagar,Danish Pastry,Bakery,2,160,320,136,184,0.575,Aug-2026,2026,UPI,Completed,Completed
